order,class_name,class_teacher,class_school,class_sum
30,从入门到大神：疫情知识智能服务核心技术实践,张鹏 曾奥涵 叶子逸 殷达 杜冀中 ,智谱·AI,145
30,网络测量与管理,周禹 郑智隆 王海博 ,清华大学,142
31,“数据赋能”推动产业转型升级,王建民 刘江川 顾维玺 田春华 王轶捷 ,清华大学,137
31,大规模在线教育中的知识智能,于济凡 ,清华大学,134
31,非易失内存在分布式存储领域的应用,张凯 ,清华大学,132
31,2020高校人工智能人才培养论坛,,,130
31,联邦智能和基于隐私保护的分布式机器学习,蔡超超 王昊昱 ,数牍科技,128
31,工业级推荐系统的特点与挑战,张亚峰 ,学堂在线计算机学院,123
31,表示学习的利与弊,赵晗 ,伊利诺伊大学香槟分校,121
31,Introduction to Artificial Intelligence,王刚 李妍 康介恢 王恺 ,南开大学,117
31,NLP应用中Transformer模型线上服务加速的业界实践,方佳瑞 ,清华大学,116
31,VR Experience and Panoramic Video Creation,冯欢 ,南开大学,115
32,"CVPR2020""最佳论文""对cv领域的启发",黄高 ,清华大学,114
32,C++编程训练营,郑莉 李超 徐明星 ,学堂在线,113
32,在线教学网络研讨会会议精彩回放,张莉 赵宏 郑莉 ,中国农业大学,112
32,从梯度信噪比来理解深度学习泛化性能为什么这么好,刘锦龙 ,清华大学,111
32,利用轨迹数据自动校准道路交叉口拓扑信息,刘国平 ,学堂在线计算机学院,111
32,智谱新冠流行预测大赛线上颁奖&AI TIME 线上分享,李涓子 刘德兵 张鹏 ,清华大学,110
32,自动化测试及修复神经网络翻译模型,孙泽宇 ,北京大学,110
32,疫情影响下求职的挑战与机遇,张杰 ,学堂在线,109
32,Computer-Aided Drug Design,孙平华 丁克 王玉强 陆小云 徐俊 ,暨南大学,106
32,基于搜索日志、多维度信息的新冠肺炎风险预测,叶子逸 曾奥涵 ,清华大学,104
33,任务导向型对话系统评测,高信龙一 ,清华大学,102
33,自监督学习在视觉场景中的研究新进展,詹晓航 李顺恺 ,香港中文大学,102
33,KdConv: 知识驱动的中文多轮对话数据集,郑楚杰 ,清华大学,98
33,MixText: Linguistically-Informed Interpolation of Hidden Space for Semi-Supervised Text Classification,陈佳奥 ,佐治亚理工学院,91
33,新冠疫情中新闻学术数据的获取及分析应用,杜冀中 ,智谱·AI,91
33,任务导向对话的数据和平台建设,朱祺 ,清华大学,90
33,计算机视觉在地图领域的应用,滴滴-科技生态与发展部 ,滴滴,90
33,Embedded Software Design,赖晓晨 刘辉 申建建 ,大连理工大学,89
33,CVPR2020竞赛经验分享会,滴滴-科技生态与发展部 ,滴滴,80
33,AI分割技术在快手平台的应用,宋丛礼 ,清华大学,80
34,对话系统中的个性化回复生成与异常输入检测,郑银河 ,清华大学,77
34,铸钢件铸造技术,邱葭菲 陈小红 王伟春 林波 巫红燕 王瑞权 ,浙江机电职业技术学院,76
34,低资源场景下的对话系统任务的模型定制,宋伊萍 ,北京大学,72
34,大数据管理与挖掘,邵景峰 ,西安工程大学,70
34,Graph Representation Learning for Drug Discovery,史晨策 ,MILA,70
34,对神经网络对抗鲁棒性正则化的认识,温宇馨 ,华南理工大学,69
34,计算机组织与结构,赖晓晨 王洁 迟宗正 ,大连理工大学,67
34,度量和改进图信息在图神经网络中的使用,侯逸帆 ,香港中文大学,67
34,Brain Science and Advanced Imaging Techniques,张明 ,西安交通大学,66
34,Engineering Responsible AI,沈向洋 ,清华大学,64
35,不止于准确性：使用CheckList为NLP模型的进行行为测试,吴彤霜 ,华盛顿大学,59
35,Introduction of Artificial Intelligence,莫宏伟 ,哈尔滨工程大学,58
35,北京邮电大学人工智能能力认证证书项目（002期）,李蕾 杨亚 李睿凡 周延泉 袁宝库 ,北京邮电大学,57
35,细粒度实体分类综述,金海龙 ,清华大学,57
35,基于神经隐变量模型的对话状态推理,闵庆凯 ,南京航空航天大学,57
35,结合词典的中文命名实体识别,李孝男 ,复旦大学,55
35,Java Object Oriented Programming,单博炜 ,长安大学,54
35,TIMME: Twitter Ideology-detection via Multi-task Multi-relational Embedding,肖之屏 ,加州大学洛杉矶分校,53
35,神经机器翻译中的曝光偏差，幻觉翻译与跨域稳定性,王朝君 ,爱丁堡大学,47
35,智能技术与系统,,,47
36,WWW 2020 | 探索资源约束的Contextual Bandits问题,李卿阳 唐小程 ,学堂在线计算机学院,47
36,轮式机器人入门,索毅 ,学堂在线,40
